"priority","reviewed_record_id","decision","mapped_code","status","record_id","display_name_en","display_name_es","display_name_zh"
"2","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","__________________________________________________________________","825.102(2)","existing","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Aggravated abuse of an elderly person or disabled adult (first-degree felony)","Abuso agravado de una persona anciana o un adulto con discapacidad (delito grave de primer grado)","加重虐待老年人或残障成年人（一级重罪）"
"2","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","__________________________________________________________________","825.102(3)(b)","existing","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Neglect of an elderly person or disabled adult causing great bodily harm (second-degree felony)","Negligencia de una persona anciana o un adulto con discapacidad que causa gran daño corporal (delito grave de segundo grado)","疏忽照料老年人或残障成年人并造成严重身体伤害（二级重罪）"
"2","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","__________________________________________________________________","825.102(3)(c)","existing","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Neglect of an elderly person or disabled adult without great bodily harm (third-degree felony)","Negligencia de una persona anciana o un adulto con discapacidad sin gran daño corporal (delito grave de tercer grado)","疏忽照料老年人或残障成年人但未造成严重身体伤害（三级重罪）"
"3","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","__________________________________________________________________","825.102(1)","existing","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Abuse of an elderly person or disabled adult (no great bodily harm; third-degree felony)","Abuso de una persona anciana o un adulto con discapacidad (sin gran daño corporal; delito grave de tercer grado)","虐待老年人或残障成年人（未造成严重身体伤害；三级重罪）"
"3","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","__________________________________________________________________","825.102(2)","existing","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Aggravated abuse of an elderly person or disabled adult (first-degree felony)","Abuso agravado de una persona anciana o un adulto con discapacidad (delito grave de primer grado)","加重虐待老年人或残障成年人（一级重罪）"
"3","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","__________________________________________________________________","825.102(3)(b)","existing","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Neglect of an elderly person or disabled adult causing great bodily harm (second-degree felony)","Negligencia de una persona anciana o un adulto con discapacidad que causa gran daño corporal (delito grave de segundo grado)","疏忽照料老年人或残障成年人并造成严重身体伤害（二级重罪）"
"3","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","__________________________________________________________________","825.102(3)(c)","existing","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Neglect of an elderly person or disabled adult without great bodily harm (third-degree felony)","Negligencia de una persona anciana o un adulto con discapacidad sin gran daño corporal (delito grave de tercer grado)","疏忽照料老年人或残障成年人但未造成严重身体伤害（三级重罪）"
"4","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Split per the more detailed answers above.","825.102(1)","existing","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Abuse of an elderly person or disabled adult (no great bodily harm; third-degree felony)","Abuso de una persona anciana o un adulto con discapacidad (sin gran daño corporal; delito grave de tercer grado)","虐待老年人或残障成年人（未造成严重身体伤害；三级重罪）"
"4","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Split per the more detailed answers above.","825.102(2)","existing","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Aggravated abuse of an elderly person or disabled adult (first-degree felony)","Abuso agravado de una persona anciana o un adulto con discapacidad (delito grave de primer grado)","加重虐待老年人或残障成年人（一级重罪）"
"4","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Split per the more detailed answers above.","825.102(3)(b)","existing","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Neglect of an elderly person or disabled adult causing great bodily harm (second-degree felony)","Negligencia de una persona anciana o un adulto con discapacidad que causa gran daño corporal (delito grave de segundo grado)","疏忽照料老年人或残障成年人并造成严重身体伤害（二级重罪）"
"4","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Split per the more detailed answers above.","825.102(3)(c)","existing","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Neglect of an elderly person or disabled adult without great bodily harm (third-degree felony)","Negligencia de una persona anciana o un adulto con discapacidad sin gran daño corporal (delito grave de tercer grado)","疏忽照料老年人或残障成年人但未造成严重身体伤害（三级重罪）"
"5","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Split per the more detailed answers above.","825.102(1)","existing","fl-fs-825-102-1-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Abuse of an elderly person or disabled adult (no great bodily harm; third-degree felony)","Abuso de una persona anciana o un adulto con discapacidad (sin gran daño corporal; delito grave de tercer grado)","虐待老年人或残障成年人（未造成严重身体伤害；三级重罪）"
"5","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Split per the more detailed answers above.","825.102(2)","existing","fl-fs-825-102-2-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Aggravated abuse of an elderly person or disabled adult (first-degree felony)","Abuso agravado de una persona anciana o un adulto con discapacidad (delito grave de primer grado)","加重虐待老年人或残障成年人（一级重罪）"
"5","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Split per the more detailed answers above.","825.102(3)(b)","existing","fl-fs-825-102-3-b-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Neglect of an elderly person or disabled adult causing great bodily harm (second-degree felony)","Negligencia de una persona anciana o un adulto con discapacidad que causa gran daño corporal (delito grave de segundo grado)","疏忽照料老年人或残障成年人并造成严重身体伤害（二级重罪）"
"5","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Split per the more detailed answers above.","825.102(3)(c)","existing","fl-fs-825-102-3-c-abuse-aggravated-abuse-and-neglect-of-an-elderly-person-or-disabled-adult-penalties","Neglect of an elderly person or disabled adult without great bodily harm (third-degree felony)","Negligencia de una persona anciana o un adulto con discapacidad sin gran daño corporal (delito grave de tercer grado)","疏忽照料老年人或残障成年人但未造成严重身体伤害（三级重罪）"
"6","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split to separate offenses according to the directions below.","827.03(2)(a)","existing","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Aggravated child abuse (first-degree felony)","Abuso infantil agravado (delito grave de primer grado)","加重虐待儿童（一级重罪）"
"6","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split to separate offenses according to the directions below.","827.03(2)(b)","existing","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child neglect causing great bodily harm (second-degree felony)","Negligencia infantil que causa gran daño corporal (delito grave de segundo grado)","疏忽照料儿童并造成严重身体伤害（二级重罪）"
"6","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split to separate offenses according to the directions below.","827.03(2)(c)","existing","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child abuse without great bodily harm (third-degree felony)","Abuso infantil sin gran daño corporal (delito grave de tercer grado)","虐待儿童但未造成严重身体伤害（三级重罪）"
"6","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split to separate offenses according to the directions below.","827.03(2)(d)","existing","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child neglect without great bodily harm (third-degree felony)","Negligencia infantil sin gran daño corporal (delito grave de tercer grado)","疏忽照料儿童但未造成严重身体伤害（三级重罪）"
"7","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(a)","existing","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Aggravated child abuse (first-degree felony)","Abuso infantil agravado (delito grave de primer grado)","加重虐待儿童（一级重罪）"
"7","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(b)","existing","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child neglect causing great bodily harm (second-degree felony)","Negligencia infantil que causa gran daño corporal (delito grave de segundo grado)","疏忽照料儿童并造成严重身体伤害（二级重罪）"
"7","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(c)","existing","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child abuse without great bodily harm (third-degree felony)","Abuso infantil sin gran daño corporal (delito grave de tercer grado)","虐待儿童但未造成严重身体伤害（三级重罪）"
"7","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(d)","existing","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child neglect without great bodily harm (third-degree felony)","Negligencia infantil sin gran daño corporal (delito grave de tercer grado)","疏忽照料儿童但未造成严重身体伤害（三级重罪）"
"8","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(a)","existing","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Aggravated child abuse (first-degree felony)","Abuso infantil agravado (delito grave de primer grado)","加重虐待儿童（一级重罪）"
"8","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(b)","existing","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child neglect causing great bodily harm (second-degree felony)","Negligencia infantil que causa gran daño corporal (delito grave de segundo grado)","疏忽照料儿童并造成严重身体伤害（二级重罪）"
"8","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(c)","existing","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child abuse without great bodily harm (third-degree felony)","Abuso infantil sin gran daño corporal (delito grave de tercer grado)","虐待儿童但未造成严重身体伤害（三级重罪）"
"8","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(d)","existing","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child neglect without great bodily harm (third-degree felony)","Negligencia infantil sin gran daño corporal (delito grave de tercer grado)","疏忽照料儿童但未造成严重身体伤害（三级重罪）"
"9","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(a)","existing","fl-fs-827-03-2-a-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Aggravated child abuse (first-degree felony)","Abuso infantil agravado (delito grave de primer grado)","加重虐待儿童（一级重罪）"
"9","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(b)","existing","fl-fs-827-03-2-b-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child neglect causing great bodily harm (second-degree felony)","Negligencia infantil que causa gran daño corporal (delito grave de segundo grado)","疏忽照料儿童并造成严重身体伤害（二级重罪）"
"9","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(c)","existing","fl-fs-827-03-2-c-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child abuse without great bodily harm (third-degree felony)","Abuso infantil sin gran daño corporal (delito grave de tercer grado)","虐待儿童但未造成严重身体伤害（三级重罪）"
"9","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Split according to the instructions above","827.03(2)(d)","existing","fl-fs-827-03-2-d-abuse-aggravated-abuse-and-neglect-of-a-child-penalties","Child neglect without great bodily harm (third-degree felony)","Negligencia infantil sin gran daño corporal (delito grave de tercer grado)","疏忽照料儿童但未造成严重身体伤害（三级重罪）"
"10","fl-fs-827-04-3-contributing-to-the-delinquency-or-dependency-of-a-child-penalty","Split into two offenses","827.04(1)","held","","","",""
"10","fl-fs-827-04-3-contributing-to-the-delinquency-or-dependency-of-a-child-penalty","Split into two offenses","827.04(3)","existing","fl-fs-827-04-3-contributing-to-the-delinquency-or-dependency-of-a-child-penalty","Impregnation of a child under 16 by a person age 21 or older (third-degree felony)","Embarazo de una menor de 16 por una persona de 21 años o más (delito grave de tercer grado)","年满21岁者使未满16岁儿童怀孕（三级重罪）"
