"queue_order","queue_group","record_id","legacy_label","proposed_name","statutory_scope","citation","source_url","existing_status","triage_reason","evidence_or_hold_reason","scope_specific_question","en_explanation","es_explanation","zh_explanation","recovered_authorities_pending_work","attorney_decision","attorney_notes","reviewer_name","review_date"
"11","legacy_hold","fl-voluntary-manslaughter","Voluntary Manslaughter","","782.07(1)","Fla. Stat. § 782.07(1)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0782/Sections/0782.07.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 782.07(1), should record fl-voluntary-manslaughter be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"12","legacy_hold","fl-involuntary-manslaughter","Involuntary Manslaughter","","782.07(1)","Fla. Stat. § 782.07(1)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0782/Sections/0782.07.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 782.07(1), should record fl-involuntary-manslaughter be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"13","legacy_hold","fl-criminally-negligent-homicide","Criminally Negligent Homicide","Manslaughter; aggravated manslaughter of an elderly person or disabled adult; aggravated manslaughter of a child; aggravated manslaughter of an officer, a firefighter, an emergency medical technician, or a paramedic","782.07","Fla. Stat. § 782.07","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0782/Sections/0782.07.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Manslaughter; aggravated manslaughter of an elderly person or disabled adult; aggravated manslaughter of a child; aggravated manslaughter of an officer, a firefighter, an emergency medical technician, or a paramedic"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 782.07 support the legacy label “Criminally Negligent Homicide” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"14","legacy_hold","fl-felony-murder","Felony Murder","","782.04(1)(a)2","Fla. Stat. § 782.04(1)(a)2","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0782/Sections/0782.04.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 782.04(1)(a)2, should record fl-felony-murder be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"15","legacy_hold","fl-assault-on-peace-officer","Assault on Peace Officer","Assault or battery of law enforcement officers and other specified personnel; reclassification of offenses; minimum sentences","784.07","Fla. Stat. § 784.07","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0784/Sections/0784.07.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Assault or battery of law enforcement officers and other specified personnel; reclassification of offenses; minimum sentences"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 784.07 support the legacy label “Assault on Peace Officer” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"16","legacy_hold","fl-menacing","Menacing","Assault","784.011","Fla. Stat. § 784.011","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0784/Sections/0784.011.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Assault"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 784.011 support the legacy label “Menacing” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"17","legacy_hold","fl-sexual-assault-in-the-second-degree","Sexual Battery (by Force)","","794.011(4)","Fla. Stat. § 794.011(4)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0700-0799/0794/Sections/0794.011.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 794.011(4), should record fl-sexual-assault-in-the-second-degree be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
"18","legacy_hold","fl-child-sexual-abuse","Child Sexual Abuse","Lewd or lascivious offenses committed upon or in the presence of persons less than 16 years of age","800.04","Fla. Stat. § 800.04","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0800/Sections/0800.04.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Lewd or lascivious offenses committed upon or in the presence of persons less than 16 years of age"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 800.04 support the legacy label “Child Sexual Abuse” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"19","legacy_hold","fl-sexual-exploitation-of-minor","Sexual Exploitation of Minor","Sexual performance by a child; child sexual abuse material; penalties","827.071","Fla. Stat. § 827.071","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0827/Sections/0827.071.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Sexual performance by a child; child sexual abuse material; penalties"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 827.071 support the legacy label “Sexual Exploitation of Minor” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"20","legacy_hold","fl-petty-theft","Petty Theft","Theft","812.014","Fla. Stat. § 812.014","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0812/Sections/0812.014.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Theft"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 812.014 support the legacy label “Petty Theft” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"21","legacy_hold","fl-theft-by-receiving","Theft by Receiving","Dealing in stolen property","812.019","Fla. Stat. § 812.019","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0812/Sections/0812.019.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Dealing in stolen property"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 812.019 support the legacy label “Theft by Receiving” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"22","legacy_hold","fl-identity-theft","Identity Theft","Criminal use of personal identification information","817.568","Fla. Stat. § 817.568","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0817/Sections/0817.568.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Criminal use of personal identification information"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 817.568 support the legacy label “Identity Theft” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"23","legacy_hold","fl-credit-card-fraud","Credit Card Fraud","Fraudulent use of credit cards","817.61","Fla. Stat. § 817.61","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0817/Sections/0817.61.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Fraudulent use of credit cards"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 817.61 support the legacy label “Credit Card Fraud” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"24","legacy_hold","fl-embezzlement","Embezzlement","Theft","812.014(2)","Fla. Stat. § 812.014(2)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0812/Sections/0812.014.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Theft"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 812.014(2) support the legacy label “Embezzlement” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"25","legacy_hold","fl-shoplifting","Shoplifting","Retail and farm theft; transit fare evasion; mandatory fine; alternative punishment; detention and arrest; exemption from liability for false arrest; resisting arrest; penalties","812.015","Fla. Stat. § 812.015","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0812/Sections/0812.015.html","require_exact_reselection","label_to_official_title_identity_unresolved","The official Florida title ""Retail and farm theft; transit fare evasion; mandatory fine; alternative punishment; detention and arrest; exemption from liability for false arrest; resisting arrest; penalties"" is not an exact or explicitly reviewed mapping for the catalog label.","Does the official provision at Fla. Stat. § 812.015 support the legacy label “Shoplifting” at this exact scope? If not, choose correct, split, reclassify, deduplicate, or remove and state the exact mapping.","","","","","","","",""
"26","legacy_hold","fl-residential-burglary","Residential Burglary","","810.02(2)","Fla. Stat. § 810.02(2)","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0800-0899/0810/Sections/0810.02.html","require_exact_reselection","exact_citation_or_subdivision_mismatch","The catalog code does not exactly support every cited Florida statutory section and subdivision.","For Fla. Stat. § 810.02(2), should record fl-residential-burglary be corrected to an exact reviewed subdivision, split into multiple records, or removed? Supply the exact citation(s) and action.","","","","","","","",""
