"ordinal","legacyId","legacyLabel","legacyCode","legacyCategory","classification","coverageExtent","existingExactRecordIds","existingExactCitations","proposedAction","attorneyQuestion","safeMechanical","evidenceCitations","evidenceSourceHashes","supportQuotes"
"11","fl-theft-by-receiving","Theft by Receiving","812.019","misdemeanor","mechanical_correction","full","fl-fs-812-019-dealing-in-stolen-property","Fla. Stat. § 812.019","Retire the legacy row and route selection to fl-fs-812-019-dealing-in-stolen-property; preserve the source-first display name and exact code.","","true","Fla. Stat. § 812.019 | Fla. Stat. § 812.019","94489dd693272ea5c58d6d5dc382e7726fd64c97e88ffc43506ef932c38a1a89 | 94489dd693272ea5c58d6d5dc382e7726fd64c97e88ffc43506ef932c38a1a89","Dealing in stolen property | 812.019 
Dealing in stolen property.
—

(1) 
Any person who traffics in, or endeavors to traffic in, property that he or she knows or should know was stolen shall be guilty of a felony of the second degree, punishable as provided in ss. 775.082, 775.083, and 775.084.

(2) 
Any person who initiates, organizes, plans, finances, directs, manages, or supervises the theft of property and traffics in such stolen property shall be guilty of a felony of the first degree, punishable as provided in ss. 775.082, 775.083, and 775.084.

History.
—
s. 7, ch. 77-342; s. 1237, ch. 97-102."
"12","fl-identity-theft","Identity Theft","817.568","felony","covered_by_existing_exact_record","partial","fl-fs-817-568-fraudulent-use-of-personal-identification-information | fl-fs-817-568-harassment-by-use-of-personal-identification-information","Fla. Stat. § 817.568(2) | Fla. Stat. § 817.568(4)","Retire the umbrella legacy row; use the enumerated exact records and do not imply coverage beyond them.","","false","Fla. Stat. § 817.568(2) | Fla. Stat. § 817.568(4) | Fla. Stat. § 817.568","77a435e6d986110e314948f8e07ce0d1acb6f5807138f6026f3e0344c6158402 | 77a435e6d986110e314948f8e07ce0d1acb6f5807138f6026f3e0344c6158402 | 77a435e6d986110e314948f8e07ce0d1acb6f5807138f6026f3e0344c6158402","Any person who willfully and without authorization fraudulently uses, or possesses with intent to fraudulently use, personal identification information concerning another person without first obtaining that person’s consent, commits the offense of fraudulent use of personal identification information, which is a felony of the third degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084. | Any person who willfully and without authorization possesses, uses, or attempts to use personal identification information concerning a person without first obtaining that person’s consent, and who does so for the purpose of harassing that person, commits the offense of harassment by use of personal identification information, which is a misdemeanor of the first degree, punishable as provided in s. 775.082 or s. 775.083. | 817.568 
Criminal use of personal identification information.
—

(1) 
As used in this section, the term:
(a) 
“Access device” means any card, plate, code, account number, electronic serial number, mobile identification number, personal identification number, or other telecommunications service, equipment, or instrument identifier, or other means of account access that can be used, alone or in conjunction with another access device, to obtain money, goods, services, or any other thing of value, or that can be used to initiate a transfer of funds, other than a transfer originated solely by paper instrument.

(b) 
“Authorization” means empowerment, permission, or competence to act.

(c) 
“Hara…"
"13","fl-credit-card-fraud","Credit Card Fraud","817.61","felony","mechanical_correction","full","fl-fs-817-61-fraudulent-use-of-credit-cards","Fla. Stat. § 817.61","Retire the legacy row and route selection to fl-fs-817-61-fraudulent-use-of-credit-cards; preserve the source-first display name and exact code.","","true","Fla. Stat. § 817.61 | Fla. Stat. § 817.61","0e9d649c4416380fa70119ad63b1642bc99589c8a37940ea5392a79381ba5f57 | 0e9d649c4416380fa70119ad63b1642bc99589c8a37940ea5392a79381ba5f57","Fraudulent use of credit cards | 817.61 
Fraudulent use of credit cards.
—

A person who, with intent to defraud the issuer or a person or organization providing money, goods, services, or anything else of value or any other person, uses, for the purpose of obtaining money, goods, services, or anything else of value, a credit card obtained or retained in violation of this part or a credit card which he or she knows is forged, or who obtains money, goods, services, or anything else of value by representing, without the consent of the cardholder, that he or she is the holder of a specified card or by representing that he or she is the holder of a card and such card has not in fact been issued violates this section. A person…"
"14","fl-embezzlement","Embezzlement","812.014(2)","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Embezzlement” represent?","false","Fla. Stat. § 812.014","fe7a7c622d57b4b205f717d630c5e1b9c3414f6ce68327a1ce0d17f004247ec3","812.014 
Theft.
—

(1) 
A person commits theft if he or she knowingly obtains or uses, or endeavors to obtain or to use, the property of another with intent to, either temporarily or permanently:
(a) 
Deprive the other person of a right to the property or a benefit from the property.

(b) 
Appropriate the property to his or her own use or to the use of any person not entitled to the use of the property.

(2)(a)1. 
If the property stolen is valued at $100,000 or more or is a semitrailer that was deployed by a law enforcement officer; or

2. 
If the property stolen is cargo valued at $50,000 or more that has entered the stream of interstate or intrastate commerce from the shipper’s loading pl…"
"15","fl-shoplifting","Shoplifting","812.015","misdemeanor","mechanical_correction","full","fl-fs-812-015-retail-theft","Fla. Stat. § 812.015(8)-(11)","Retire the legacy row and route selection to fl-fs-812-015-retail-theft; preserve the source-first display name and exact code.","","true","Fla. Stat. § 812.015(8)-(11) | Fla. Stat. § 812.015","291dd86e6b9004c610ac61c3064051a0e6175c3ad02ab4be30995591133b7238 | 291dd86e6b9004c610ac61c3064051a0e6175c3ad02ab4be30995591133b7238","Except as provided in subsection (9) or subsection (11), a person who commits retail theft commits a felony of the third degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084, if the person: | 812.015 
Retail and farm theft; transit fare evasion; mandatory fine; alternative punishment; detention and arrest; exemption from liability for false arrest; resisting arrest; penalties.
—

(1) 
As used in this section:
(a) 
“Antishoplifting or inventory control device” means a mechanism or other device designed and operated for the purpose of detecting the removal from a mercantile establishment or similar enclosure, or from a protected area within such an enclosure, of specially marked or tagged merchandise. The term includes any electronic or digital imaging or any video recording or other film used for security purposes and the cash register tape or other record made of the register re…"
"16","fl-residential-burglary","Residential Burglary","810.02(2)","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Residential Burglary” represent?","false","Fla. Stat. § 810.02","4304135fddba2643ae0244e10af5613fc0c08e2b3e5cff6a1c4bcc9d91acce6d","810.02 
Burglary.
—

(1)(a) 
For offenses committed on or before July 1, 2001, “burglary” means entering or remaining in a dwelling, a structure, or a conveyance with the intent to commit an offense therein, unless the premises are at the time open to the public or the defendant is licensed or invited to enter or remain.

(b) 
For offenses committed after July 1, 2001, “burglary” means:
1. 
Entering a dwelling, a structure, or a conveyance with the intent to commit an offense therein, unless the premises are at the time open to the public or the defendant is licensed or invited to enter; or

2. 
Notwithstanding a licensed or invited entry, remaining in a dwelling, structure, or conveyance:…"
"17","fl-commercial-burglary","Commercial Burglary","810.02(3)","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Commercial Burglary” represent?","false","Fla. Stat. § 810.02","4304135fddba2643ae0244e10af5613fc0c08e2b3e5cff6a1c4bcc9d91acce6d","810.02 
Burglary.
—

(1)(a) 
For offenses committed on or before July 1, 2001, “burglary” means entering or remaining in a dwelling, a structure, or a conveyance with the intent to commit an offense therein, unless the premises are at the time open to the public or the defendant is licensed or invited to enter or remain.

(b) 
For offenses committed after July 1, 2001, “burglary” means:
1. 
Entering a dwelling, a structure, or a conveyance with the intent to commit an offense therein, unless the premises are at the time open to the public or the defendant is licensed or invited to enter; or

2. 
Notwithstanding a licensed or invited entry, remaining in a dwelling, structure, or conveyance:…"
"18","fl-auto-burglary","Auto Burglary","810.02(4)","felony","real_legal_question","none","","","Hold for the single narrow attorney question; do not map by heading or citation alone.","What exact Florida offense and subdivision, if any, should the label “Auto Burglary” represent?","false","Fla. Stat. § 810.02","4304135fddba2643ae0244e10af5613fc0c08e2b3e5cff6a1c4bcc9d91acce6d","810.02 
Burglary.
—

(1)(a) 
For offenses committed on or before July 1, 2001, “burglary” means entering or remaining in a dwelling, a structure, or a conveyance with the intent to commit an offense therein, unless the premises are at the time open to the public or the defendant is licensed or invited to enter or remain.

(b) 
For offenses committed after July 1, 2001, “burglary” means:
1. 
Entering a dwelling, a structure, or a conveyance with the intent to commit an offense therein, unless the premises are at the time open to the public or the defendant is licensed or invited to enter; or

2. 
Notwithstanding a licensed or invited entry, remaining in a dwelling, structure, or conveyance:…"
"19","fl-bank-robbery","Bank Robbery","18 U.S.C. § 2113","felony","nonoffense_or_out_of_scope_candidate","none","","","Remove from the Florida offense catalog or move to a separately labeled procedure/enhancement/infraction workflow after owner confirmation.","","false","18 U.S.C. § 2113","d7f6fafc1bd925426a2ab63ae301ce8cab2a9aa58a83e393e2015424f5a53468","The catalog code does not exactly support every cited Florida statutory section and subdivision."
"20","fl-possession-of-controlled-substance","Possession of Controlled Substance","893.13(6)","misdemeanor","mechanical_correction","full","fl-fs-893-13-6-a-prohibited-acts-penalties","Fla. Stat. § 893.13(6)(a)","Retire the legacy row and route selection to fl-fs-893-13-6-a-prohibited-acts-penalties; preserve the source-first display name and exact code.","","true","Fla. Stat. § 893.13(6)(a) | Fla. Stat. § 893.13","24ea1363382c208c816b76e26abe55a15f2cae5cc6f7f16a1162499cbda89291 | 24ea1363382c208c816b76e26abe55a15f2cae5cc6f7f16a1162499cbda89291","Prohibited acts; penalties | 893.13 
Prohibited acts; penalties.
—

(1)(a) 
Except as authorized by this chapter and chapter 499, a person may not sell, manufacture, or deliver, or possess with intent to sell, manufacture, or deliver, a controlled substance. A person who violates this provision with respect to:
1. 
A controlled substance named or described in s. 893.03(1)(a), (1)(b), (1)(d), (2)(a), (2)(b), or (2)(c)5. commits a felony of the second degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

2. 
A controlled substance named or described in s. 893.03(1)(c), (2)(c)1., (2)(c)2., (2)(c)3., (2)(c)6., (2)(c)7., (2)(c)8., (2)(c)9., (2)(c)10., (3), or (4) commits a felony of the third degree, pun…"
"21","fl-possession-with-intent-to-distribute","Possession with Intent to Distribute","893.13(1)(a)","felony","mechanical_correction","full","fl-fs-893-13-1-a-prohibited-acts-penalties","Fla. Stat. § 893.13(1)(a)","Retire the legacy row and route selection to fl-fs-893-13-1-a-prohibited-acts-penalties; preserve the source-first display name and exact code.","","true","Fla. Stat. § 893.13(1)(a) | Fla. Stat. § 893.13","24ea1363382c208c816b76e26abe55a15f2cae5cc6f7f16a1162499cbda89291 | 24ea1363382c208c816b76e26abe55a15f2cae5cc6f7f16a1162499cbda89291","Prohibited acts; penalties | 893.13 
Prohibited acts; penalties.
—

(1)(a) 
Except as authorized by this chapter and chapter 499, a person may not sell, manufacture, or deliver, or possess with intent to sell, manufacture, or deliver, a controlled substance. A person who violates this provision with respect to:
1. 
A controlled substance named or described in s. 893.03(1)(a), (1)(b), (1)(d), (2)(a), (2)(b), or (2)(c)5. commits a felony of the second degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

2. 
A controlled substance named or described in s. 893.03(1)(c), (2)(c)1., (2)(c)2., (2)(c)3., (2)(c)6., (2)(c)7., (2)(c)8., (2)(c)9., (2)(c)10., (3), or (4) commits a felony of the third degree, pun…"
"22","fl-distribution-of-controlled-substance","Distribution of Controlled Substance","893.13(1)(a)","felony","mechanical_correction","full","fl-fs-893-13-1-a-prohibited-acts-penalties","Fla. Stat. § 893.13(1)(a)","Retire the legacy row and route selection to fl-fs-893-13-1-a-prohibited-acts-penalties; preserve the source-first display name and exact code.","","true","Fla. Stat. § 893.13(1)(a) | Fla. Stat. § 893.13","24ea1363382c208c816b76e26abe55a15f2cae5cc6f7f16a1162499cbda89291 | 24ea1363382c208c816b76e26abe55a15f2cae5cc6f7f16a1162499cbda89291","Prohibited acts; penalties | 893.13 
Prohibited acts; penalties.
—

(1)(a) 
Except as authorized by this chapter and chapter 499, a person may not sell, manufacture, or deliver, or possess with intent to sell, manufacture, or deliver, a controlled substance. A person who violates this provision with respect to:
1. 
A controlled substance named or described in s. 893.03(1)(a), (1)(b), (1)(d), (2)(a), (2)(b), or (2)(c)5. commits a felony of the second degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

2. 
A controlled substance named or described in s. 893.03(1)(c), (2)(c)1., (2)(c)2., (2)(c)3., (2)(c)6., (2)(c)7., (2)(c)8., (2)(c)9., (2)(c)10., (3), or (4) commits a felony of the third degree, pun…"
"23","fl-manufacturing-controlled-substance","Manufacturing Controlled Substance","893.13(1)(a)","felony","mechanical_correction","full","fl-fs-893-13-1-a-prohibited-acts-penalties","Fla. Stat. § 893.13(1)(a)","Retire the legacy row and route selection to fl-fs-893-13-1-a-prohibited-acts-penalties; preserve the source-first display name and exact code.","","true","Fla. Stat. § 893.13(1)(a) | Fla. Stat. § 893.13","24ea1363382c208c816b76e26abe55a15f2cae5cc6f7f16a1162499cbda89291 | 24ea1363382c208c816b76e26abe55a15f2cae5cc6f7f16a1162499cbda89291","Prohibited acts; penalties | 893.13 
Prohibited acts; penalties.
—

(1)(a) 
Except as authorized by this chapter and chapter 499, a person may not sell, manufacture, or deliver, or possess with intent to sell, manufacture, or deliver, a controlled substance. A person who violates this provision with respect to:
1. 
A controlled substance named or described in s. 893.03(1)(a), (1)(b), (1)(d), (2)(a), (2)(b), or (2)(c)5. commits a felony of the second degree, punishable as provided in s. 775.082, s. 775.083, or s. 775.084.

2. 
A controlled substance named or described in s. 893.03(1)(c), (2)(c)1., (2)(c)2., (2)(c)3., (2)(c)6., (2)(c)7., (2)(c)8., (2)(c)9., (2)(c)10., (3), or (4) commits a felony of the third degree, pun…"
