chargeId,catalogLabel,catalogCode,section,verdict,officialCatchline,candidateNames,sourceUrl,reason,evidence,decision,note
"oh-contempt-of-court","Contempt of Court","2705.02","2705.02","discovery_unresolved","Acts in contempt of court","","https://codes.ohio.gov/ohio-revised-code/section-2705.02","The section exists in the snapshot but has no recognized offense signal. Investigate extraction and dependencies before any legal referral; omission is not proof that no offense exists.","A person guilty of any of the following acts may be punished as for a contempt: (A) Disobedience of, or resistance to, a lawful writ, process, order, rule, judgment, or command of a court or officer; (B) Misbehavior of an officer of the court in the performance of official duties, or in official transactions; (C) A failure to obey a subpoena duly served, or a refusal to be sworn or to answer as a witness, when lawfully required; (D) The rescue, or attempted rescue, of a person or of property in the custody of an officer by virtue of an order or process of court held by the officer; (E) A failu","",""
"oh-credit-card-fraud","Credit Card Fraud","2913.21","2913.21","label_conflict","Misuse of credit cards","misuse of credit cards","https://codes.ohio.gov/ohio-revised-code/section-2913.21","Section 2913.21 states only ""misuse of credit cards"", which does not describe the catalog label ""Credit Card Fraud"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of misuse of credit cards","",""
"oh-criminal-attempt","Criminal Attempt","MPC § 5.01 / OH attempt statute","","section_missing","","","","Catalog code ""MPC § 5.01 / OH attempt statute"" does not contain an Ohio section number, and no section states an offense named ""Criminal Attempt"".","","",""
"oh-criminal-solicitation","Criminal Solicitation","MPC § 5.02 / OH solicitation statute","","section_missing","","","","Catalog code ""MPC § 5.02 / OH solicitation statute"" does not contain an Ohio section number, and no section states an offense named ""Criminal Solicitation"".","","",""
"oh-curfew-violation","Curfew Violation","2917.14","2917.14","label_conflict","Unlawfully impeding public passage of an emergency service responder","unlawfully impeding public passage of an emergency service responder","https://codes.ohio.gov/ohio-revised-code/section-2917.14","Section 2917.14 states only ""unlawfully impeding public passage of an emergency service responder"", which does not describe the catalog label ""Curfew Violation"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of unlawfully impeding public passage of an emergency service responder","",""
"oh-defective-vehicle-equipment","Defective Vehicle Equipment / Broken Taillight","4513.01","4513.01","discovery_unresolved","Traffic laws - equipment - load definitions","","https://codes.ohio.gov/ohio-revised-code/section-4513.01","The section exists in the snapshot but has no recognized offense signal. Investigate extraction and dependencies before any legal referral; omission is not proof that no offense exists.","As provided in section 4511.01 of the Revised Code, the definitions set forth in that section apply to this chapter.","",""
"oh-discharge-of-firearm-in-city","Discharge of Firearm in City","2923.161","2923.161","label_conflict","Improperly discharging firearm at or into a habitation, in a school safety zone or with intent to cause harm or panic to persons in a school building or at a school function","improperly discharging a firearm at or into a habitation","https://codes.ohio.gov/ohio-revised-code/section-2923.161","Section 2923.161 states only ""improperly discharging a firearm at or into a habitation"", which does not describe the catalog label ""Discharge of Firearm in City"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of improperly discharging a firearm at or into a habitation","",""
"oh-distribution-of-controlled-substance","Distribution of Controlled Substance","2925.03","2925.03","compound_ambiguous","Trafficking, aggravated trafficking in drugs","aggravated trafficking in drugs | trafficking in drugs | trafficking in marihuana | trafficking in cocaine | trafficking in L.S.D. | trafficking in heroin | trafficking in hashish | trafficking in a controlled substance analog | trafficking in a fentanyl-related compound","https://codes.ohio.gov/ohio-revised-code/section-2925.03","Section 2925.03 states 9 offenses and the catalog label matches none of them. Choose the intended offense.","whoever violates division (A) of this section is guilty of aggravated trafficking in drugs | whoever violates division (A) of this section is guilty of trafficking in drugs | whoever violates division (A) of this section is guilty of trafficking in marihuana | whoever violates division (A) of this section is guilty of trafficking in cocaine | whoever violates division (A) of this section is guilty of trafficking in L.S.D | whoever violates division (A) of this section is guilty of trafficking in heroin | whoever violates division (A) of this section is guilty of trafficking in hashish | whoever violates division (A) of this section is guilty of trafficking in a controlled substance analog | whoever violates division (A) of this section is guilty of trafficking in a fentanyl-related compound","",""
"oh-driving-under-suspension","Driving Under Suspension","4510.11","4510.11","citation_candidates","Driving under suspension or in violation of license restriction","driving under suspension (4510.111)","https://codes.ohio.gov/ohio-revised-code/section-4510.11","A unique exact statutory-name match exists elsewhere. The supplied citation remains unchanged pending review; this is not a mechanical correction.","(A) Except as provided in division (B) of this section and in sections 4510.111 and 4510.16 of the Revised Code, no person whose driver's or commercial driver's license or permit or nonresident operating privilege has been suspended under any provision of the Revised Code, other than Chapter 4509. of the Revised Code, or under any applicable law in any other jurisdiction in which the person's license or permit was issued, shall operate any motor vehicle upon the public roads and highways or upon any public or private property used by the public for purposes of vehicular travel or parking withi","",""
"oh-driving-without-insurance","Driving Without Insurance","4509.101","4509.101","discovery_unresolved","Operating of motor vehicle without proof of financial responsibility","","https://codes.ohio.gov/ohio-revised-code/section-4509.101","Section 4509.101 (""Operating of motor vehicle without proof of financial responsibility"") has unresolved discovery signals (prohibition_only). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(A)(1) No person shall operate, or permit the operation of, a motor vehicle in this state, unless proof of financial responsibility is maintained continuously throughout the registration period with respect to that vehicle, or, in the case of a driver who is not the owner, with respect to that driver's operation of that vehicle. (2) Whoever violates division (A)(1) of this section shall be subject to the following civil penalties: (a) Subject to divisions (A)(2)(b) and (c) of this section, a class (F) suspension of the person's driver's license, commercial driver's license, temporary instructi","",""
"oh-drug-school-zone-enhancement","Drug Offense in a School Zone (Proximity Enhancement)","OH drug-free school zone statute","","section_missing","","","","Catalog code ""OH drug-free school zone statute"" does not contain an Ohio section number, and no section states an offense named ""Drug Offense in a School Zone (Proximity Enhancement)"".","","",""
"oh-drug-trafficking","Drug Trafficking","2925.03","2925.03","compound_ambiguous","Trafficking, aggravated trafficking in drugs","aggravated trafficking in drugs | trafficking in drugs | trafficking in marihuana | trafficking in cocaine | trafficking in L.S.D. | trafficking in heroin | trafficking in hashish | trafficking in a controlled substance analog | trafficking in a fentanyl-related compound","https://codes.ohio.gov/ohio-revised-code/section-2925.03","Section 2925.03 states 9 offenses and the catalog label matches none of them. Choose the intended offense.","whoever violates division (A) of this section is guilty of aggravated trafficking in drugs | whoever violates division (A) of this section is guilty of trafficking in drugs | whoever violates division (A) of this section is guilty of trafficking in marihuana | whoever violates division (A) of this section is guilty of trafficking in cocaine | whoever violates division (A) of this section is guilty of trafficking in L.S.D | whoever violates division (A) of this section is guilty of trafficking in heroin | whoever violates division (A) of this section is guilty of trafficking in hashish | whoever violates division (A) of this section is guilty of trafficking in a controlled substance analog | whoever violates division (A) of this section is guilty of trafficking in a fentanyl-related compound","",""
"oh-dui-first-offense","DUI First Offense","4511.19","4511.19","compound_ambiguous","Operating vehicle under the influence of alcohol or drugs - OVI","operating a vehicle under the influence of alcohol | operating a vehicle after underage alcohol consumption","https://codes.ohio.gov/ohio-revised-code/section-4511.19","Section 4511.19 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates any provision of divisions (A)(1)(a) to (i) or (A)(2) of this section is guilty of operating a vehicle under the influence of alcohol | Whoever violates division (B) of this section is guilty of operating a vehicle after underage alcohol consumption","",""
"oh-dui-second-offense","DUI Second Offense","4511.19","4511.19","compound_ambiguous","Operating vehicle under the influence of alcohol or drugs - OVI","operating a vehicle under the influence of alcohol | operating a vehicle after underage alcohol consumption","https://codes.ohio.gov/ohio-revised-code/section-4511.19","Section 4511.19 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates any provision of divisions (A)(1)(a) to (i) or (A)(2) of this section is guilty of operating a vehicle under the influence of alcohol | Whoever violates division (B) of this section is guilty of operating a vehicle after underage alcohol consumption","",""
"oh-dui-third-offense","DUI Third Offense","4511.19","4511.19","compound_ambiguous","Operating vehicle under the influence of alcohol or drugs - OVI","operating a vehicle under the influence of alcohol | operating a vehicle after underage alcohol consumption","https://codes.ohio.gov/ohio-revised-code/section-4511.19","Section 4511.19 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates any provision of divisions (A)(1)(a) to (i) or (A)(2) of this section is guilty of operating a vehicle under the influence of alcohol | Whoever violates division (B) of this section is guilty of operating a vehicle after underage alcohol consumption","",""
"oh-embezzlement","Embezzlement","2913.02","2913.02","label_conflict","Theft","theft","https://codes.ohio.gov/ohio-revised-code/section-2913.02","Section 2913.02 states only ""theft"", which does not describe the catalog label ""Embezzlement"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of theft","",""
"oh-expired-inspection","Driving with Expired/No Inspection","4513.02","4513.02","discovery_unresolved","Unsafe vehicles","","https://codes.ohio.gov/ohio-revised-code/section-4513.02","Section 4513.02 (""Unsafe vehicles"") has unresolved discovery signals (local_grade_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(H) Whoever violates this section is guilty of a minor misdemeanor.","",""
"oh-expired-registration","Driving with Expired Registration","4503.11","4503.11","discovery_unresolved","Owner required to file application - taxes","","https://codes.ohio.gov/ohio-revised-code/section-4503.11","Section 4503.11 (""Owner required to file application - taxes"") has unresolved discovery signals (local_grade_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(D) Whoever violates this section is guilty of a minor misdemeanor.","",""
"oh-failure-to-pay-child-support","Criminal Nonsupport / Failure to Pay Child Support","2919.21","2919.21","compound_ambiguous","Nonsupport or contributing to nonsupport of dependents","nonsupport of dependents | contributing to the nonsupport of dependents","https://codes.ohio.gov/ohio-revised-code/section-2919.21","Section 2919.21 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","whoever violates division (A) or (B) of this section is guilty of nonsupport of dependents | Whoever violates division (C) of this section is guilty of contributing to the nonsupport of dependents","",""
"oh-fake-id","Possession of Fake/Fraudulent ID","2913.31","2913.31","compound_ambiguous","Forgery - Forging identification cards or selling or distributing forged identification cards","forgery | forging identification cards or selling or distributing forged identification cards","https://codes.ohio.gov/ohio-revised-code/section-2913.31","Section 2913.31 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates division (A) of this section is guilty of forgery | Whoever violates division (B) of this section is guilty of forging identification cards or selling or distributing forged identification cards","",""
"oh-false-info-to-police","Providing False Information to Police","2921.13","2921.13","compound_ambiguous","Falsification - in theft offense - to purchase firearm","falsification | falsification in a theft offense | falsification to purchase a firearm | falsification to obtain a concealed handgun license | falsification regarding a removal proceeding","https://codes.ohio.gov/ohio-revised-code/section-2921.13","Section 2921.13 states 5 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates division (A)(1), (2), (3), (4), (5), (6), (7), (8), (10), (11), (13), (15), or (16) of this section is guilty of falsification | Whoever violates division (A)(9) of this section is guilty of falsification in a theft offense | Whoever violates division (A)(12) or (B) of this section is guilty of falsification to purchase a firearm | Whoever violates division (A)(14) or (C) of this section is guilty of falsification to obtain a concealed handgun license | is guilty of falsification regarding a removal proceeding","",""
"oh-felon-in-possession-of-firearm","Felon in Possession of Firearm","2923.13","2923.13","label_conflict","Having weapons while under disability","having weapons while under disability","https://codes.ohio.gov/ohio-revised-code/section-2923.13","Section 2923.13 states only ""having weapons while under disability"", which does not describe the catalog label ""Felon in Possession of Firearm"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of having weapons while under disability","",""
"oh-firearm-in-felony-enhancement","Use of a Firearm in Commission of a Felony","OH firearm enhancement statute","","section_missing","","","","Catalog code ""OH firearm enhancement statute"" does not contain an Ohio section number, and no section states an offense named ""Use of a Firearm in Commission of a Felony"".","","",""
"oh-gang-enhancement","Criminal Street Gang Enhancement","OH gang enhancement statute","","section_missing","","","","Catalog code ""OH gang enhancement statute"" does not contain an Ohio section number, and no section states an offense named ""Criminal Street Gang Enhancement"".","","",""
"oh-harassment","Harassment / Stalking","2903.211","2903.211","label_conflict","Menacing by stalking","menacing by stalking","https://codes.ohio.gov/ohio-revised-code/section-2903.211","Section 2903.211 states only ""menacing by stalking"", which does not describe the catalog label ""Harassment / Stalking"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of menacing by stalking","",""
"oh-hate-crime-enhancement","Hate Crime Enhancement","OH hate crime statute","","section_missing","","","","Catalog code ""OH hate crime statute"" does not contain an Ohio section number, and no section states an offense named ""Hate Crime Enhancement"".","","",""
"oh-hit-and-run","Hit and Run","4549.02","4549.02","label_conflict","Stopping after accident on public roads or highways","failure to stop after an accident","https://codes.ohio.gov/ohio-revised-code/section-4549.02","Section 4549.02 states only ""failure to stop after an accident"", which does not describe the catalog label ""Hit and Run"". Confirm whether the citation is wrong or the row should be renamed.","Whoever violates division (A) of this section is guilty of failure to stop after an accident","",""
"oh-hunting-fishing-no-license","Fishing / Hunting Without a License","1533.08","1533.08","discovery_unresolved","Scientific, educational or rehabilitation collection permits","","https://codes.ohio.gov/ohio-revised-code/section-1533.08","The section exists in the snapshot but has no recognized offense signal. Investigate extraction and dependencies before any legal referral; omission is not proof that no offense exists.","Except as otherwise provided by division rule, any person desiring to collect or possess wild animals that are protected by law or their nests or eggs for scientific study, school instruction, other educational uses, or rehabilitation shall make an annual application to the chief of the division of wildlife for a wild animal permit on a form furnished by the chief. Each applicant for a wild animal permit, other than an applicant desiring to rehabilitate wild animals, shall pay an annual fee of twenty-five dollars for each permit. No fee shall be charged to an applicant desiring to rehabilitate","",""
"oh-identity-theft","Identity Theft","2913.49","2913.49","label_conflict","Identity fraud","identity fraud","https://codes.ohio.gov/ohio-revised-code/section-2913.49","Section 2913.49 states only ""identity fraud"", which does not describe the catalog label ""Identity Theft"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of identity fraud","",""
"oh-illegal-camping","Illegal Camping / Sleeping in Public","2917.12","2917.12","label_conflict","Disturbing a lawful meeting","disturbing a lawful meeting","https://codes.ohio.gov/ohio-revised-code/section-2917.12","Section 2917.12 states only ""disturbing a lawful meeting"", which does not describe the catalog label ""Illegal Camping / Sleeping in Public"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of disturbing a lawful meeting","",""
"oh-illegal-fireworks","Illegal Discharge of Fireworks","3743.65","3743.65","discovery_unresolved","Possession, sale, and use restrictions","","https://codes.ohio.gov/ohio-revised-code/section-3743.65","Section 3743.65 (""Possession, sale, and use restrictions"") has unresolved discovery signals (penalty_scope_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(C) Whoever violates division (E), (F), (G), (H), (I), or (J) of section 3743.60, division (E), (F), (G), (H), (I), or (J) of section 3743.61, section 3743.63, division (D), (E), (F), or (G) of section 3743.64, division (A), (B), (C), (D), or (E) of section 3743.65, or section 3743.66 of the Revised Code is guilty of a misdemeanor of the first degree.","",""
"oh-indecent-exposure","Indecent Exposure / Public Urination","2907.09","2907.09","label_conflict","Public indecency","public indecency","https://codes.ohio.gov/ohio-revised-code/section-2907.09","Section 2907.09 states only ""public indecency"", which does not describe the catalog label ""Indecent Exposure / Public Urination"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of public indecency","",""
"oh-juvenile-delinquency-felony","Juvenile Delinquency Adjudication (Felony-Level Act)","OH Juvenile Court Act / Family Code","","section_missing","","","","Catalog code ""OH Juvenile Court Act / Family Code"" does not contain an Ohio section number, and no section states an offense named ""Juvenile Delinquency Adjudication (Felony-Level Act)"".","","",""
"oh-juvenile-delinquency-misdemeanor","Juvenile Delinquency Adjudication (Misdemeanor-Level Act)","OH Juvenile Court Act / Family Code","","section_missing","","","","Catalog code ""OH Juvenile Court Act / Family Code"" does not contain an Ohio section number, and no section states an offense named ""Juvenile Delinquency Adjudication (Misdemeanor-Level Act)"".","","",""
"oh-juvenile-firearm-possession","Juvenile Firearm Possession","OH juvenile firearm possession statute","","section_missing","","","","Catalog code ""OH juvenile firearm possession statute"" does not contain an Ohio section number, and no section states an offense named ""Juvenile Firearm Possession"".","","",""
"oh-juvenile-transfer-adult-court","Juvenile Transfer to Adult Court (Waiver Hearing)","OH Juvenile Court Act — transfer / waiver provisions","","section_missing","","","","Catalog code ""OH Juvenile Court Act — transfer / waiver provisions"" does not contain an Ohio section number, and no section states an offense named ""Juvenile Transfer to Adult Court (Waiver Hearing)"".","","",""
"oh-littering","Littering / Illegal Dumping","3767.32","3767.32","discovery_unresolved","Littering","","https://codes.ohio.gov/ohio-revised-code/section-3767.32","Section 3767.32 (""Littering"") has unresolved discovery signals (penalty_scope_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(C) Whoever violates section 3767.13, 3767.19, or 3767.32 or, being a natural person, violates section 3767.30 of the Revised Code is guilty of a misdemeanor of the third degree.","",""
"oh-loitering","Loitering","2917.11","2917.11","label_conflict","Disorderly conduct","disorderly conduct","https://codes.ohio.gov/ohio-revised-code/section-2917.11","Section 2917.11 states only ""disorderly conduct"", which does not describe the catalog label ""Loitering"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of disorderly conduct","",""
"oh-mail-fraud","Mail Fraud","2913.02","2913.02","label_conflict","Theft","theft","https://codes.ohio.gov/ohio-revised-code/section-2913.02","Section 2913.02 states only ""theft"", which does not describe the catalog label ""Mail Fraud"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of theft","",""
"oh-maintaining-drug-house","Maintaining Drug House","2925.13","2925.13","label_conflict","Permitting drug abuse","permitting drug abuse","https://codes.ohio.gov/ohio-revised-code/section-2925.13","Section 2925.13 states only ""permitting drug abuse"", which does not describe the catalog label ""Maintaining Drug House"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of permitting drug abuse","",""
"oh-manufacturing-controlled-substance","Manufacturing Controlled Substance","2925.04","2925.04","compound_ambiguous","Illegal manufacture of drugs - illegal cultivation of marihuana - methamphetamine offenses","illegal manufacture of drugs | illegal cultivation of marihuana | a specification of the type described in division (A) of section 2941","https://codes.ohio.gov/ohio-revised-code/section-2925.04","Section 2925.04 states 3 offenses and the catalog label matches none of them. Choose the intended offense.","is guilty of illegal manufacture of drugs | is guilty of illegal cultivation of marihuana | is guilty of a specification of the type described in division (A) of section 2941","",""
"oh-minor-in-possession","Minor in Possession of Alcohol","4301.69","4301.69","discovery_unresolved","Underage persons offenses concerning","","https://codes.ohio.gov/ohio-revised-code/section-4301.69","Section 4301.69 (""Underage persons offenses concerning"") has unresolved discovery signals (penalty_scope_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(C) Whoever violates division (D) of section 4301.21, section 4301.251, 4301.58, 4301.59, 4301.60, 4301.633, 4301.66, 4301.68, or 4301.74, division (B), (C), (D), or (F) of section 4301.69, or division (E), (F), (G), or (I) of section 4301.691 of the Revised Code is guilty of a misdemeanor of the first degree.","",""
"oh-noise-violation","Noise Violation / Disturbing the Peace by Noise","2917.11","2917.11","label_conflict","Disorderly conduct","disorderly conduct","https://codes.ohio.gov/ohio-revised-code/section-2917.11","Section 2917.11 states only ""disorderly conduct"", which does not describe the catalog label ""Noise Violation / Disturbing the Peace by Noise"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of disorderly conduct","",""
"oh-orc-2903-311-reckless-failure-to-immediately-report-knowledge-of-hazing","Reckless failure to immediately report knowledge of hazing","2903.311","2903.311","discovery_unresolved","Reckless failure to immediately report knowledge of hazing","","https://codes.ohio.gov/ohio-revised-code/section-2903.311","Section 2903.311 (""Reckless failure to immediately report knowledge of hazing"") has unresolved discovery signals (local_grade_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(C) A violation of this section is a misdemeanor of the fourth degree, except that the violation is a misdemeanor of the first degree if the hazing causes serious physical harm.","",""
"oh-orc-2903-35-filing-false-patient-abuse-or-neglect-complaints","Filing false patient abuse or neglect complaints","2903.35","2903.35","label_conflict","Filing false patient abuse or neglect complaints","filing a false patient abuse or neglect complaint","https://codes.ohio.gov/ohio-revised-code/section-2903.35","Section 2903.35 states only ""filing a false patient abuse or neglect complaint"", which does not describe the catalog label ""Filing false patient abuse or neglect complaints"". Confirm whether the citation is wrong or the row should be renamed.","is guilty of filing a false patient abuse or neglect complaint","",""
"oh-orc-2913-04-unauthorized-use-of-computer-cable-or-telecommunication-property","Unauthorized use of computer, cable, or telecommunication property","2913.04","2913.04","compound_ambiguous","Unauthorized use of property - computer, cable, or telecommunication property","unauthorized use of property | unauthorized use of computer | unauthorized use of the law enforcement automated database system | unauthorized use of the Ohio law enforcement gateway","https://codes.ohio.gov/ohio-revised-code/section-2913.04","Section 2913.04 states 4 offenses and the catalog label matches more than one of them. Choose the intended offense.","Whoever violates division (A) of this section is guilty of unauthorized use of property | Whoever violates division (B) of this section is guilty of unauthorized use of computer | Whoever violates division (C) of this section is guilty of unauthorized use of the law enforcement automated database system | Whoever violates division (D) of this section is guilty of unauthorized use of the Ohio law enforcement gateway","",""
"oh-orc-3767-32-littering","Littering","3767.32","3767.32","discovery_unresolved","Littering","","https://codes.ohio.gov/ohio-revised-code/section-3767.32","Section 3767.32 (""Littering"") has unresolved discovery signals (penalty_scope_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(C) Whoever violates section 3767.13, 3767.19, or 3767.32 or, being a natural person, violates section 3767.30 of the Revised Code is guilty of a misdemeanor of the third degree.","",""
"oh-orc-4510-11-driving-under-suspension-or-in-violation-of-license-restriction","Driving under suspension or in violation of license restriction","4510.11","4510.11","discovery_unresolved","Driving under suspension or in violation of license restriction","","https://codes.ohio.gov/ohio-revised-code/section-4510.11","Section 4510.11 (""Driving under suspension or in violation of license restriction"") has unresolved discovery signals (local_grade_candidate). Investigate conduct and penalty applicability before any legal referral. This is neither an automatic rename nor a finding that no offense exists.","(D)(1) Whoever violates division (A) or (B) of this section is guilty of a misdemeanor of the first degree.","",""
"oh-orc-4511-19-operating-a-vehicle-while-under-the-influence-of-a-listed-controlled-substance-or-a-listed-metabolite-of-a-controlled-substance","Operating a vehicle while under the influence of a listed controlled substance or a listed metabolite of a controlled substance","4511.19","4511.19","compound_ambiguous","Operating vehicle under the influence of alcohol or drugs - OVI","operating a vehicle under the influence of alcohol | operating a vehicle after underage alcohol consumption","https://codes.ohio.gov/ohio-revised-code/section-4511.19","Section 4511.19 states 2 offenses and the catalog label matches none of them. Choose the intended offense.","Whoever violates any provision of divisions (A)(1)(a) to (i) or (A)(2) of this section is guilty of operating a vehicle under the influence of alcohol | Whoever violates division (B) of this section is guilty of operating a vehicle after underage alcohol consumption","",""
