"chargeId","catalogLabel","proposedAlias","citation","subdivision","officialCodeUrl","decision","reviewer","reviewedAt","note"
"sc-identity-theft","Identity Theft","Financial identity fraud or identity fraud; penalty","S.C. Code Ann. § 16-13-510","Whole section","https://www.scstatehouse.gov/code/t16c013.php","","","",""
"sc-credit-card-fraud","Credit Card Fraud","Financial transaction card fraud","S.C. Code Ann. § 16-14-60","Whole section","https://www.scstatehouse.gov/code/t16c014.php","","","",""
"sc-embezzlement","Embezzlement","Breach of trust with fraudulent intent","S.C. Code Ann. § 16-13-230","Whole section","https://www.scstatehouse.gov/code/t16c013.php","","","",""
"sc-burglary-in-the-first-degree","Burglary in the First Degree","Burglary; first degree","S.C. Code Ann. § 16-11-311","Whole section","https://www.scstatehouse.gov/code/t16c011.php","","","",""
"sc-burglary-in-the-second-degree","Burglary in the Second Degree","Burglary; second degree","S.C. Code Ann. § 16-11-312","Whole section","https://www.scstatehouse.gov/code/t16c011.php","","","",""
"sc-burglary-in-the-third-degree","Burglary in the Third Degree","Burglary; third degree","S.C. Code Ann. § 16-11-313","Whole section","https://www.scstatehouse.gov/code/t16c011.php","","","",""
"sc-carjacking","Carjacking","Felony of carjacking; penalties","S.C. Code Ann. § 16-3-1075","Whole section","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-possession-of-drug-paraphernalia","Possession of Drug Paraphernalia","Unlawful to advertise for sale, manufacture, possess, sell or deliver, or to possess with intent to sell or deliver, paraphernalia","S.C. Code Ann. § 44-53-391","Whole section","https://www.scstatehouse.gov/code/t44c053.php","","","",""
"sc-check-fraud","Check Fraud","Drawing and uttering fraudulent check, draft, or other written order","S.C. Code Ann. § 34-11-60","Whole section","https://www.scstatehouse.gov/code/t34c011.php","","","",""
"sc-insurance-fraud","Insurance Fraud","Criminal penalties for making false statement or misrepresentation, or assisting, abetting, soliciting or conspiring to do so; restitution to victims","S.C. Code Ann. § 38-55-540","Whole section","https://www.scstatehouse.gov/code/t38c055.php","","","",""
"sc-disorderly-conduct","Disorderly Conduct","Public disorderly conduct; conditional discharge for first-time offenders","S.C. Code Ann. § 16-17-530","Whole section","https://www.scstatehouse.gov/code/t16c017.php","","","",""
"sc-dui-first-offense","DUI First Offense","Operating motor vehicle while under influence of alcohol or drugs; penalties; enrollment in Alcohol and Drug Safety Action Program; prosecution","S.C. Code Ann. § 56-5-2930","Whole section","https://www.scstatehouse.gov/code/t56c005.php","","","",""
"sc-reckless-driving","Reckless Driving","Reckless driving; penalties; suspension of driver's license for second or subsequent offense","S.C. Code Ann. § 56-5-2920","Whole section","https://www.scstatehouse.gov/code/t56c005.php","","","",""
"sc-driving-while-suspended","Driving While Suspended","Penalties for driving while license cancelled, suspended or revoked; route restricted license","S.C. Code Ann. § 56-1-460","Whole section","https://www.scstatehouse.gov/code/t56c001.php","","","",""
"sc-driving-under-suspension","Driving Under Suspension","Penalties for driving while license cancelled, suspended or revoked; route restricted license","S.C. Code Ann. § 56-1-460","Whole section","https://www.scstatehouse.gov/code/t56c001.php","","","",""
"sc-petit-larceny","Petit Larceny","Petit larceny; grand larceny","S.C. Code Ann. § 16-13-30(A)","(A)","https://www.scstatehouse.gov/code/t16c013.php","","","",""
"sc-assault-and-battery-third-degree","Assault and Battery 3rd Degree","Assault and battery; definitions; degrees of offenses","S.C. Code Ann. § 16-3-600(E)","(E)","https://www.scstatehouse.gov/code/t16c003.php","","","",""
"sc-domestic-violence-third-degree","Domestic Violence 3rd Degree","Acts prohibited; penalties","S.C. Code Ann. § 16-25-20(C)","(C)","https://www.scstatehouse.gov/code/t16c025.php","","","",""
"sc-malicious-injury-to-property","Malicious Injury to Property","Malicious injury to animals and other personal property","S.C. Code Ann. § 16-11-510","Whole section","https://www.scstatehouse.gov/code/t16c011.php","","","",""
"sc-failure-to-appear","Failure to Appear","Wilful failure to appear; penalties","S.C. Code Ann. § 17-15-90","Whole section","https://www.scstatehouse.gov/code/t17c015.php","","","",""
"sc-probation-violation","Probation Violation","Court action when terms of probation violated","S.C. Code Ann. § 24-21-460","Whole section","https://www.scstatehouse.gov/code/t24c021.php","","","",""
"sc-open-container","Open Container Violation","Open containers in motor vehicle","S.C. Code Ann. § 61-4-110","Whole section","https://www.scstatehouse.gov/code/t61c004.php","","","",""
"sc-animal-cruelty-misdemeanor","Animal Cruelty (Misdemeanor)","Ill-treatment of animals generally; penalties","S.C. Code Ann. § 47-1-40(A)","(A)","https://www.scstatehouse.gov/code/t47c001.php","","","",""
"sc-truancy","Truancy / Chronic Absenteeism","Penalty for failure to enroll or cause child to attend school","S.C. Code Ann. § 59-65-20","Whole section","https://www.scstatehouse.gov/code/t59c065.php","","","",""
"sc-littering","Littering / Illegal Dumping","Dumping litter on private or public property prohibited; exceptions; responsibility for removal; penalties","S.C. Code Ann. § 16-11-700","Whole section","https://www.scstatehouse.gov/code/t16c011.php","","","",""
"sc-criminal-attempt","Criminal Attempt","Offense of attempt punished as principal offense","S.C. Code Ann. § 16-1-80","Whole section","https://www.scstatehouse.gov/code/t16c001.php","","","",""
"sc-conspiracy","Criminal Conspiracy","Conspiracy","S.C. Code Ann. § 16-17-410","Whole section","https://www.scstatehouse.gov/code/t16c017.php","","","",""
"sc-juvenile-transfer-adult-court","Juvenile Transfer to Adult Court (Waiver Hearing)","Transfer of jurisdiction","S.C. Code Ann. § 63-19-1210","Whole section","https://www.scstatehouse.gov/code/t63c019.php","","","",""
