"chargeId","catalogLabel","proposedAlias","citation","subdivision","officialCodeUrl","approvedDisplayName","decision","reviewer","reviewedAt","note"
"nc-computer-fraud","Computer Fraud","Exceptions","N.C. Gen. Stat. § 14-453.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-453.1.html","","","","",""
"nc-conspiracy","Criminal Conspiracy","Punishment for conspiracy to commit a felony","N.C. Gen. Stat. § 14-2.4","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-2.4.html","","","","",""
"nc-contempt-of-court","Contempt of Court","Criminal contempt","N.C. Gen. Stat. § 5A-11","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_5A/GS_5A-11.html","","","","",""
"nc-credit-card-fraud","Credit Card Fraud","Financial transaction card theft","N.C. Gen. Stat. § 14-113.9","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-113.9.html","","","","",""
"nc-criminal-attempt","Criminal Attempt","Punishment for attempt to commit a felony or misdemeanor","N.C. Gen. Stat. § 14-2.5","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-2.5.html","","","","",""
"nc-criminal-solicitation","Criminal Solicitation","Punishment for solicitation to commit a felony or misdemeanor","N.C. Gen. Stat. § 14-2.6","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-2.6.html","","","","",""
"nc-criminally-negligent-homicide","Criminally Negligent Homicide","Punishment for manslaughter","N.C. Gen. Stat. § 14-18","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-18.html","","","","",""
"nc-curfew-violation","Curfew Violation","Curfews","N.C. Gen. Stat. § 153A-142","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_153A/GS_153A-142.html","","","","",""
"nc-defective-vehicle-equipment","Defective Vehicle Equipment / Broken Taillight","Trailers and towed vehicles","N.C. Gen. Stat. § 20-123","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-123.html","","","","",""
"nc-discharge-of-firearm-in-city","Discharge of Firearm in City","Discharging certain barreled weapons or a firearm into occupied property","N.C. Gen. Stat. § 14-34.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-34.1.html","","","","",""
"nc-distribution-of-controlled-substance","Distribution of Controlled Substance","Violations; penalties","N.C. Gen. Stat. § 90-95(a)(1)","(a)(1)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_90/GS_90-95.html","","","","",""
"nc-disturbing-the-peace","Disturbing the Peace","Disorderly conduct","N.C. Gen. Stat. § 14-288.4","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-288.4.html","","","","",""
"nc-domestic-violence-assault","Domestic Violence Assault","Domestic violence; definition","N.C. Gen. Stat. § 50B-1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_50B/GS_50B-1.html","","","","",""
"nc-domestic-violence-protective-order-violation","DVPO Violation","Violation of valid protective order","N.C. Gen. Stat. § 50B-4.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_50B/GS_50B-4.1.html","","","","",""
"nc-driving-while-license-revoked","Driving While License Revoked","Unlawful to drive while license revoked, after notification, or while disqualified","N.C. Gen. Stat. § 20-28","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-28.html","","","","",""
"nc-driving-while-suspended","Driving While Suspended","Unlawful to drive while license revoked, after notification, or while disqualified","N.C. Gen. Stat. § 20-28","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-28.html","","","","",""
"nc-drug-school-zone-enhancement","Drug Offense in a School Zone (Proximity Enhancement)","Violations; penalties","N.C. Gen. Stat. § 90-95(e)(8)","(e)(8)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_90/GS_90-95.html","","","","",""
"nc-drug-trafficking","Drug Trafficking","Violations; penalties","N.C. Gen. Stat. § 90-95(h)","(h)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_90/GS_90-95.html","","","","",""
"nc-dui-first-offense","DUI First Offense","Impaired driving","N.C. Gen. Stat. § 20-138.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-138.1.html","","","","",""
"nc-dui-second-offense","DUI Second Offense","Sentencing hearing after conviction for impaired driving; determination of grossly aggravating and aggravating and mitigating factors; punishments","N.C. Gen. Stat. § 20-179(c)","(c)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-179.html","","","","",""
"nc-dui-third-offense","DUI Third Offense","Sentencing hearing after conviction for impaired driving; determination of grossly aggravating and aggravating and mitigating factors; punishments","N.C. Gen. Stat. § 20-179(d)","(d)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-179.html","","","","",""
"nc-embezzlement","Embezzlement","Embezzlement of property received by virtue of office or employment","N.C. Gen. Stat. § 14-90","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-90.html","","","","",""
"nc-expired-inspection","Driving with Expired/No Inspection","Description of vehicles subject to safety or emissions inspection; definitions","N.C. Gen. Stat. § 20-183.2","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-183.2.html","","","","",""
"nc-expired-registration","Driving with Expired Registration","Violation of registration provisions","N.C. Gen. Stat. § 20-111","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-111.html","","","","",""
"nc-failure-to-pay-child-support","Criminal Nonsupport / Failure to Pay Child Support","Abandonment and failure to support spouse and children","N.C. Gen. Stat. § 14-322","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-322.html","","","","",""
"nc-fake-id","Possession of Fake/Fraudulent ID","Sale to or purchase by underage persons","N.C. Gen. Stat. § 18B-302(e)","(e)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_18B/GS_18B-302.html","","","","",""
"nc-false-info-to-police","Providing False Information to Police","False reports to law enforcement agencies or officers","N.C. Gen. Stat. § 14-225","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-225.html","","","","",""
"nc-felon-in-possession-of-firearm","Felon in Possession of Firearm","Possession of firearms, etc., by felon prohibited","N.C. Gen. Stat. § 14-415.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-415.1.html","","","","",""
"nc-felony-murder","Felony Murder","Murder in the first and second degree defined; punishment","N.C. Gen. Stat. § 14-17","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-17.html","","","","",""
"nc-firearm-in-felony-enhancement","Use of a Firearm in Commission of a Felony","Aggravated and mitigated sentences","N.C. Gen. Stat. § 15A-1340.16A","A","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_15A/GS_15A-1340.16.html","","","","",""
"nc-forgery","Forgery","Forgery of notes, checks, and other securities; counterfeiting of instruments","N.C. Gen. Stat. § 14-119","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-119.html","","","","",""
"nc-gang-enhancement","Criminal Street Gang Enhancement","Enhanced offense for misdemeanor criminal gang activity","N.C. Gen. Stat. § 14-50.22","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-50.22.html","","","","",""
"nc-grand-theft-in-the-first-degree","Grand Theft in the First Degree","Larceny of property; receiving stolen goods or possessing stolen goods","N.C. Gen. Stat. § 14-72","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-72.html","","","","",""
"nc-grand-theft-in-the-second-degree","Grand Theft in the Second Degree","Larceny of property; receiving stolen goods or possessing stolen goods","N.C. Gen. Stat. § 14-72","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-72.html","","","","",""
"nc-hate-crime-enhancement","Hate Crime Enhancement","Punishment of misdemeanors, infamous offenses, offenses committed in secrecy and malice, or with deceit and intent to defraud, or with ethnic animosity","N.C. Gen. Stat. § 14-3(c)","(c)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-3.html","","","","",""
"nc-hit-and-run","Hit and Run","Duty to stop in event of a crash; furnishing information or assistance to injured person, etc.; persons assisting exempt from civil liability","N.C. Gen. Stat. § 20-166","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-166.html","","","","",""
"nc-hunting-fishing-no-license","Fishing / Hunting Without a License","Exemptions and exceptions to license and permit requirements","N.C. Gen. Stat. § 113-276","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_113/GS_113-276.html","","","","",""
"nc-illegal-camping","Illegal Camping / Sleeping in Public","First degree trespass","N.C. Gen. Stat. § 14-159.12","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-159.12.html","","","","",""
"nc-illegal-fireworks","Illegal Discharge of Fireworks","Manufacture, sale and use of pyrotechnics prohibited; exceptions; license required; sale to persons under the age of 16 prohibited","N.C. Gen. Stat. § 14-410","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-410.html","","","","",""
"nc-indecent-exposure","Indecent Exposure / Public Urination","Indecent exposure","N.C. Gen. Stat. § 14-190.9","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-190.9.html","","","","",""
"nc-injury-to-personal-property","Injury to Personal Property","Willful and wanton injury to personal property; punishments","N.C. Gen. Stat. § 14-160","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-160.html","","","","",""
"nc-insurance-fraud","Insurance Fraud","False statement to procure or deny benefit of insurance policy or certificate","N.C. Gen. Stat. § 58-2-161","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_58/GS_58-2-161.html","","","","",""
"nc-involuntary-manslaughter","Involuntary Manslaughter","Punishment for manslaughter","N.C. Gen. Stat. § 14-18","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-18.html","","","","",""
"nc-juvenile-delinquency-felony","Juvenile Delinquency Adjudication (Felony-Level Act)","Definitions","N.C. Gen. Stat. § 7B-1501(7)","(7)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_7B/GS_7B-1501.html","","","","",""
"nc-juvenile-delinquency-misdemeanor","Juvenile Delinquency Adjudication (Misdemeanor-Level Act)","Definitions","N.C. Gen. Stat. § 7B-1501(7)","(7)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_7B/GS_7B-1501.html","","","","",""
"nc-juvenile-firearm-possession","Juvenile Firearm Possession","Weapons on campus or other educational property","N.C. Gen. Stat. § 14-269.2","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-269.2.html","","","","",""
"nc-juvenile-transfer-adult-court","Juvenile Transfer to Adult Court (Waiver Hearing)","Transfer of jurisdiction of a juvenile under the age of 16 to superior court","N.C. Gen. Stat. § 7B-2200","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_7B/GS_7B-2200.html","","","","",""
"nc-larceny-misdemeanor","Misdemeanor Larceny","Larceny of property; receiving stolen goods or possessing stolen goods","N.C. Gen. Stat. § 14-72","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-72.html","","","","",""
"nc-littering","Littering / Illegal Dumping","Littering","N.C. Gen. Stat. § 14-399","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-399.html","","","","",""
"nc-loitering","Loitering","Disorderly conduct in and injuries to public buildings and facilities","N.C. Gen. Stat. § 14-132","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-132.html","","","","",""
"nc-mail-fraud","Mail Fraud","Obtaining property by false pretenses","N.C. Gen. Stat. § 14-100(a)","(a)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-100.html","","","","",""
"nc-maintaining-drug-house","Maintaining Drug House","Prohibited acts; penalties","N.C. Gen. Stat. § 90-108(a)(7)","(a)(7)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_90/GS_90-108.html","","","","",""
"nc-manufacturing-controlled-substance","Manufacturing Controlled Substance","Violations; penalties","N.C. Gen. Stat. § 90-95(a)(1)","(a)(1)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_90/GS_90-95.html","","","","",""
"nc-menacing","Menacing","Communicating threats","N.C. Gen. Stat. § 14-277.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-277.1.html","","","","",""
"nc-minor-in-possession","Minor in Possession of Alcohol","Sale to or purchase by underage persons","N.C. Gen. Stat. § 18B-302(b)","(b)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_18B/GS_18B-302.html","","","","",""
"nc-murder-in-the-first-degree","Murder in the First Degree","Murder in the first and second degree defined; punishment","N.C. Gen. Stat. § 14-17","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-17.html","","","","",""
"nc-murder-in-the-second-degree","Murder in the Second Degree","Murder in the first and second degree defined; punishment","N.C. Gen. Stat. § 14-17(b)","(b)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-17.html","","","","",""
"nc-petty-theft","Petty Theft","Larceny of property; receiving stolen goods or possessing stolen goods","N.C. Gen. Stat. § 14-72","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-72.html","","","","",""
"nc-possession-marijuana-up-to-half-oz","Possession of Marijuana up to 0.5 oz","Violations; penalties","N.C. Gen. Stat. § 90-95(d)(4)","(d)(4)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_90/GS_90-95.html","","","","",""
"nc-possession-of-controlled-substance","Possession of Controlled Substance","Violations; penalties","N.C. Gen. Stat. § 90-95(a)(3)","(a)(3)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_90/GS_90-95.html","","","","",""
"nc-possession-of-prohibited-weapon","Possession of Prohibited Weapon","Manufacture, assembly, possession, storage, transportation, sale, purchase, delivery, or acquisition of weapon of mass death and destruction; exceptions","N.C. Gen. Stat. § 14-288.8","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-288.8.html","","","","",""
"nc-possession-with-intent-to-distribute","Possession with Intent to Distribute","Violations; penalties","N.C. Gen. Stat. § 90-95(a)(1)","(a)(1)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_90/GS_90-95.html","","","","",""
"nc-probation-violation","Probation Violation","Response to violations; alteration and revocation","N.C. Gen. Stat. § 15A-1344","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_15A/GS_15A-1344.html","","","","",""
"nc-protective-order-violation","Violation of Protective Order","Violation of valid protective order","N.C. Gen. Stat. § 50B-4.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_50B/GS_50B-4.1.html","","","","",""
"nc-public-intoxication","Public Intoxication","Intoxicated and disruptive in public","N.C. Gen. Stat. § 14-444","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-444.html","","","","",""
"nc-rape-in-the-first-degree","Rape in the First Degree","First-degree forcible rape","N.C. Gen. Stat. § 14-27.21","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-27.21.html","","","","",""
"nc-rape-in-the-second-degree","Rape in the Second Degree","Second-degree forcible rape","N.C. Gen. Stat. § 14-27.22","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-27.22.html","","","","",""
"nc-recidivist-enhancement","Prior Felony / Recidivist Sentencing Enhancement","Persons defined as habitual felons","N.C. Gen. Stat. § 14-7.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-7.1.html","","","","",""
"nc-residential-burglary","Residential Burglary","First and second degree burglary","N.C. Gen. Stat. § 14-51","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-51.html","","","","",""
"nc-resist-delay-obstruct","Resist, Delay, or Obstruct Officer","Resisting officers","N.C. Gen. Stat. § 14-223","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-223.html","","","","",""
"nc-resisting-arrest","Resisting Arrest / Obstruction","Resisting officers","N.C. Gen. Stat. § 14-223","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-223.html","","","","",""
"nc-rico-organized-crime","RICO / Organized Crime (Racketeering)","Prohibited activities","N.C. Gen. Stat. § 75D-4","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_75D/GS_75D-4.html","","","","",""
"nc-robbery-in-the-first-degree","Robbery in the First Degree","Robbery with firearms or other dangerous weapons","N.C. Gen. Stat. § 14-87","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-87.html","","","","",""
"nc-robbery-in-the-second-degree","Robbery in the Second Degree","Punishment for common-law robbery","N.C. Gen. Stat. § 14-87.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-87.1.html","","","","",""
"nc-sexual-assault-in-the-first-degree","Sexual Assault in the First Degree","First-degree forcible rape","N.C. Gen. Stat. § 14-27.21","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-27.21.html","","","","",""
"nc-sexual-assault-in-the-second-degree","Sexual Assault in the Second Degree","First-degree forcible sexual offense","N.C. Gen. Stat. § 14-27.26","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-27.26.html","","","","",""
"nc-sexual-assault-in-the-third-degree","Sexual Assault in the Third Degree","Second-degree forcible sexual offense","N.C. Gen. Stat. § 14-27.27","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-27.27.html","","","","",""
"nc-sexual-exploitation-of-minor","Sexual Exploitation of Minor","First degree sexual exploitation of a minor","N.C. Gen. Stat. § 14-190.16","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-190.16.html","","","","",""
"nc-shoplifting","Shoplifting","Concealment of merchandise in mercantile establishments","N.C. Gen. Stat. § 14-72.1","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-72.1.html","","","","",""
"nc-simple-assault","Simple Assault","Misdemeanor assaults, batteries, and affrays, simple and aggravated; punishments","N.C. Gen. Stat. § 14-33","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-33.html","","","","",""
"nc-solicitation","Solicitation / Prostitution","Prostitution","N.C. Gen. Stat. § 14-204","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-204.html","","","","",""
"nc-statutory-rape","Statutory Rape","Statutory sexual offense with a person who is 15 years of age or younger","N.C. Gen. Stat. § 14-27.30","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-27.30.html","","","","",""
"nc-tax-fraud","Tax Fraud","Penalties; situs of violations; penalty disposition","N.C. Gen. Stat. § 105-236(a)(7)","(a)(7)","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_105/GS_105-236.html","","","","",""
"nc-theft-by-receiving","Theft by Receiving","Receiving stolen goods; receiving or possessing goods represented as stolen","N.C. Gen. Stat. § 14-71","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-71.html","","","","",""
"nc-trespass-after-warning","Trespass After Warning / Return After Ban","Domestic criminal trespass","N.C. Gen. Stat. § 14-134.3","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-134.3.html","","","","",""
"nc-trespassing","Trespassing","First degree trespass","N.C. Gen. Stat. § 14-159.12","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-159.12.html","","","","",""
"nc-truancy","Truancy / Chronic Absenteeism","School social workers; reports; prosecutions","N.C. Gen. Stat. § 115C-381","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_115C/GS_115C-381.html","","","","",""
"nc-unlawful-carrying-of-weapon","Unlawful Carrying of Weapon","Carrying concealed weapons","N.C. Gen. Stat. § 14-269","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_14/GS_14-269.html","","","","",""
"nc-unregistered-vehicle","Operating Unregistered / Uninsured Vehicle","Restrictions as to tire equipment","N.C. Gen. Stat. § 20-122","Whole section","https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_20/GS_20-122.html","","","","",""
