"chargeId","catalogLabel","catalogCode","catalogCategory","currentDisposition","currentDispositionReason","proposedAlias","citation","subdivision","officialCodeUrl","officialTitle","sourceStatus","approvedDisplayName","correctedCitation","correctedSubdivision","decision","reviewer","reviewedAt","note"
"pa-auto-burglary","Auto Burglary","3502","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 3701(a)(1)(vi)","(a)(1)(vi)","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=37&sctn=1&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-bad-checks","Writing Bad Checks / Worthless Checks","18-4105","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 4105","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=41&sctn=5&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-bank-robbery","Bank Robbery","18 U.S.C. § 2113","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 3701(a)(1)(ii)","(a)(1)(ii)","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=37&sctn=1&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-burglary-in-the-first-degree","Burglary in the First Degree","3502","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 3502(a)(1)","(a)(1)","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=35&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-burglary-in-the-second-degree","Burglary in the Second Degree","3502","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 3502(a)(2)","(a)(2)","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=35&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-carjacking","Carjacking","3702","felony","exact_alias_rename","The official Pennsylvania title is supported by an explicit reviewed alias mapping.","Robbery of motor vehicle","18 Pa. Cons. Stat. § 3702","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=37&sctn=2&subsctn=0","Robbery of motor vehicle","Verified source in committed manifest","","","","","","",""
"pa-check-fraud","Check Fraud","4105","felony","exact_alias_rename","The official Pennsylvania title is supported by an explicit reviewed alias mapping.","Bad checks","18 Pa. Cons. Stat. § 4105","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=41&sctn=5&subsctn=0","Bad checks","Verified source in committed manifest","","","","","","",""
"pa-child-sexual-abuse","Child Sexual Abuse","3126","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 6312","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=63&sctn=12&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-computer-fraud","Computer Fraud","7611","felony","require_exact_reselection","The official Pennsylvania title ""Unlawful use of computer and other computer crimes"" is not an exact or explicitly reviewed mapping for the catalog label.","Unlawful use of computer and other computer crimes","18 Pa. Cons. Stat. § 7611","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=76&sctn=11&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-conspiracy","Criminal Conspiracy","MPC § 5.03 / PA conspiracy statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 903","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=9&sctn=3&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-contempt-of-court","Contempt of Court","42-4132","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","42 Pa. Cons. Stat. § 4132","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=42&div=0&chpt=41&sctn=32&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-credit-card-fraud","Credit Card Fraud","4106","felony","exact_alias_rename","The official Pennsylvania title is supported by an explicit reviewed alias mapping.","Access device fraud","18 Pa. Cons. Stat. § 4106","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=41&sctn=6&subsctn=0","Access device fraud","Verified source in committed manifest","","","","","","",""
"pa-criminal-attempt","Criminal Attempt","MPC § 5.01 / PA attempt statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 901","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=9&sctn=1&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-criminal-solicitation","Criminal Solicitation","MPC § 5.02 / PA solicitation statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 902","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=9&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-criminal-trespass","Criminal Trespass","3503","misdemeanor","retain","Catalog label matches the official Pennsylvania title.","Criminal trespass","18 Pa. Cons. Stat. § 3503","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=35&sctn=3&subsctn=0","Criminal trespass","Verified source in committed manifest","","","","","","",""
"pa-curfew-violation","Curfew Violation","18-5507","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","42 Pa. Cons. Stat. § 6302","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=42&div=0&chpt=63&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-defective-vehicle-equipment","Defective Vehicle Equipment / Broken Taillight","75-4107","infraction","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 4107","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=41&sctn=7&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-discharge-of-firearm-in-city","Discharge of Firearm in City","908","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 6107","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=61&sctn=7&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-disorderly-conduct","Disorderly Conduct","5503","misdemeanor","retain","Catalog label matches the official Pennsylvania title.","Disorderly conduct","18 Pa.C.S. § 5503","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=55&sctn=3&subsctn=0","Disorderly conduct","Verified source in committed manifest","","","","","","",""
"pa-distribution-of-controlled-substance","Distribution of Controlled Substance","35-780-113(a)(30)","felony","require_exact_reselection","The catalog citation is not an exact Pennsylvania Consolidated Statutes citation; no unconsolidated, federal, or inferred substitute is accepted.","","35 Pa. Stat. § 780-113(a)(30)","Exact subdivision unresolved","","","Citation needs exact official reselection","","","","","","",""
"pa-driving-under-suspension","Driving Under Suspension","1543","misdemeanor","require_exact_reselection","The official Pennsylvania title ""Driving while operating privilege is suspended or revoked"" is not an exact or explicitly reviewed mapping for the catalog label.","Driving while operating privilege is suspended or revoked","75 Pa. Cons. Stat. § 1543","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=15&sctn=43&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-driving-while-suspended","Driving While Suspended","75-1543","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 1543","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=15&sctn=43&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-driving-without-insurance","Driving Without Insurance","75-1786","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 1786","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=17&sctn=86&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-drug-school-zone-enhancement","Drug Offense in a School Zone (Proximity Enhancement)","PA drug-free school zone statute","felony","require_exact_reselection","The catalog citation is not an exact Pennsylvania Consolidated Statutes citation; no unconsolidated, federal, or inferred substitute is accepted.","","35 Pa. Stat. § 780-113.1","Exact subdivision unresolved","","","Citation needs exact official reselection","","","","","","",""
"pa-drug-trafficking","Drug Trafficking","7508","felony","require_exact_reselection","The catalog citation is not an exact Pennsylvania Consolidated Statutes citation; no unconsolidated, federal, or inferred substitute is accepted.","","35 Pa. Stat. § 780-113(a)(30)","Exact subdivision unresolved","","","Citation needs exact official reselection","","","","","","",""
"pa-dui-first-offense","DUI First Offense","75-3802","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 3802","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=38&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-dui-general-impairment","DUI - General Impairment","3802(a)","misdemeanor","require_exact_reselection","The official Pennsylvania title ""Driving under influence of alcohol or controlled substance"" is not an exact or explicitly reviewed mapping for the catalog label.","Driving under influence of alcohol or controlled substance","75 Pa. Cons. Stat. § 3802(a)","(a)","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=38&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-dui-second-offense","DUI Second Offense","75-3802","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 3804(a)(2)","(a)(2)","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=38&sctn=4&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-dui-third-offense","DUI Third Offense","75-3802","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 3804(a)(3)","(a)(3)","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=38&sctn=4&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-embezzlement","Embezzlement","3927","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 3924","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=39&sctn=24&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-expired-inspection","Driving with Expired/No Inspection","75-4703","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 4703","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=47&sctn=3&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-expired-registration","Driving with Expired Registration","75-1301","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 1301","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=13&sctn=1&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-failure-to-appear","Failure to Appear","18-5124","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 5124","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=51&sctn=24&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-failure-to-pay-child-support","Criminal Nonsupport / Failure to Pay Child Support","23-4354","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 4322","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=43&sctn=22&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-fake-id","Possession of Fake/Fraudulent ID","18-4104","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 6307","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=63&sctn=7&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-false-info-to-police","Providing False Information to Police","18-4906","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 4906","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=49&sctn=6&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-felon-in-possession-of-firearm","Felon in Possession of Firearm","6105","felony","exact_alias_rename","The official Pennsylvania title is supported by an explicit reviewed alias mapping.","Persons not to possess, use, manufacture, control, sell or transfer firearms","18 Pa. Cons. Stat. § 6105","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=61&sctn=5&subsctn=0","Persons not to possess, use, manufacture, control, sell or transfer firearms","Verified source in committed manifest","","","","","","",""
"pa-firearm-in-felony-enhancement","Use of a Firearm in Commission of a Felony","PA firearm enhancement statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","42 Pa. Cons. Stat. § 9712","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=42&div=0&chpt=97&sctn=12&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-forgery","Forgery","4101","felony","retain","Catalog label matches the official Pennsylvania title.","Forgery","18 Pa. Cons. Stat. § 4101","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=41&sctn=1&subsctn=0","Forgery","Verified source in committed manifest","","","","","","",""
"pa-gang-enhancement","Criminal Street Gang Enhancement","PA gang enhancement statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 911","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=9&sctn=11&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-harassment","Harassment","2709","misdemeanor","retain","Catalog label matches the official Pennsylvania title.","Harassment","18 Pa. Cons. Stat. § 2709","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=27&sctn=9&subsctn=0","Harassment","Verified source in committed manifest","","","","","","",""
"pa-harassment-stalking","Harassment / Stalking","18-2709","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 2709","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=27&sctn=9&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-hate-crime-enhancement","Hate Crime Enhancement","PA hate crime statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 2710","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=27&sctn=10&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-hit-and-run","Hit and Run","75-3742","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 3742","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=37&sctn=42&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-hunting-fishing-no-license","Fishing / Hunting Without a License","30-2702","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","34 Pa. Cons. Stat. § 2711","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=34&div=0&chpt=27&sctn=11&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-identity-theft","Identity Theft","4120","felony","retain","Catalog label matches the official Pennsylvania title.","Identity theft","18 Pa. Cons. Stat. § 4120","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=41&sctn=20&subsctn=0","Identity theft","Verified source in committed manifest","","","","","","",""
"pa-illegal-camping","Illegal Camping / Sleeping in Public","18-5505","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 3503","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=35&sctn=3&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-illegal-fireworks","Illegal Discharge of Fireworks","35-1271","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","35 Pa. Cons. Stat. § 1279.105","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=35&div=0&chpt=12&sctn=79.105&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-indecent-exposure","Indecent Exposure / Public Urination","18-3127","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 3127","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=31&sctn=27&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-insurance-fraud","Insurance Fraud","4117","felony","retain","Catalog label matches the official Pennsylvania title.","Insurance fraud","18 Pa. Cons. Stat. § 4117","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=41&sctn=17&subsctn=0","Insurance fraud","Verified source in committed manifest","","","","","","",""
"pa-involuntary-manslaughter","Involuntary Manslaughter","2504","felony","retain","Catalog label matches the official Pennsylvania title.","Involuntary manslaughter","18 Pa.C.S. § 2504","Whole section","https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=18&div=0&chpt=25&sctn=4&subsctn=0","Involuntary manslaughter","Verified source in committed manifest","","","","","","",""
"pa-juvenile-delinquency-felony","Juvenile Delinquency Adjudication (Felony-Level Act)","PA Juvenile Court Act / Family Code","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","42 Pa. Cons. Stat. § 6302","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=42&div=0&chpt=63&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-juvenile-delinquency-misdemeanor","Juvenile Delinquency Adjudication (Misdemeanor-Level Act)","PA Juvenile Court Act / Family Code","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","42 Pa. Cons. Stat. § 6302","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=42&div=0&chpt=63&sctn=2&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-juvenile-firearm-possession","Juvenile Firearm Possession","PA juvenile firearm possession statute","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 6110.1","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=61&sctn=10.1&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-juvenile-transfer-adult-court","Juvenile Transfer to Adult Court (Waiver Hearing)","PA Juvenile Court Act — transfer / waiver provisions","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","42 Pa. Cons. Stat. § 6355","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=42&div=0&chpt=63&sctn=55&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-littering","Littering / Illegal Dumping","18-6501","misdemeanor","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","75 Pa. Cons. Stat. § 3709","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=75&div=0&chpt=37&sctn=9&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-loitering","Loitering","5506","misdemeanor","require_exact_reselection","The official Pennsylvania title ""Loitering and prowling at night time"" is not an exact or explicitly reviewed mapping for the catalog label.","Loitering and prowling at night time","18 Pa. Cons. Stat. § 5506","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=55&sctn=6&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-mail-fraud","Mail Fraud","18-3922","felony","require_exact_reselection","The catalog code does not exactly support every cited Pennsylvania statutory section and subdivision.","","18 Pa. Cons. Stat. § 4107","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=41&sctn=7&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
"pa-maintaining-drug-house","Maintaining Drug House","35-780-113","felony","require_exact_reselection","The catalog citation is not an exact Pennsylvania Consolidated Statutes citation; no unconsolidated, federal, or inferred substitute is accepted.","","35 Pa. Stat. § 780-113(a)(17)","Exact subdivision unresolved","","","Citation needs exact official reselection","","","","","","",""
"pa-manufacturing-controlled-substance","Manufacturing Controlled Substance","35 P.S. §780-113(a)(14)","felony","require_exact_reselection","The catalog citation is not an exact Pennsylvania Consolidated Statutes citation; no unconsolidated, federal, or inferred substitute is accepted.","","35 Pa. Stat. § 780-113(a)(30)","Exact subdivision unresolved","","","Citation needs exact official reselection","","","","","","",""
"pa-menacing","Menacing","2706","misdemeanor","require_exact_reselection","The official Pennsylvania title ""Terroristic threats"" is not an exact or explicitly reviewed mapping for the catalog label.","Terroristic threats","18 Pa. Cons. Stat. § 2706","Whole section","https://www.palegis.us/statutes/consolidated/view-statute?txtType=HTM&ttl=18&div=0&chpt=27&sctn=6&subsctn=0","","Source reference exists; exact official text is withheld","","","","","","",""
